Demand,Scenario,Seed,Alpha,Avg_Delay,Gini_Delay,Tail_Delay,Avg_Detour,Total_VKT
demand_1.25x,S2,15,0.8,30.93425675274449,0.304531459571755,49.97845241687408,1.8343723826642084,875.7175456111587
demand_1.25x,S1,16,,28.53755778917554,0.4097275691994304,54.60655960984721,1.6613506279169703,845.9046302768462
demand_1.25x,S2,16,0.8,30.274175204624104,0.3598742528942662,53.98129023025229,1.7499854972286084,872.0230219390002
demand_1.25x,S1,17,,34.44904683939338,0.4563646024102159,70.75550657583348,1.732632560132394,916.749028907855
demand_1.25x,S2,17,0.8,36.79853583036192,0.3443884239277881,63.21441826254677,1.957663345349156,903.6084486205972
demand_1.25x,S1,18,,31.897652275728287,0.4561290870270098,66.42259971158425,1.6579639524693448,922.0843905911238
demand_1.25x,S2,18,0.8,34.35696360878044,0.330118865755461,57.92399018973995,1.764408630383903,874.9475792389196
demand_1.25x,S1,19,,31.031584486314628,0.4266557692718289,60.38851950067453,1.638887749668499,895.0077410635337
demand_1.25x,S2,19,0.8,36.58698598904477,0.3378629340351298,62.44523169336643,1.9549591117981624,880.9769298201882
demand_1.25x,S1,20,,30.22990920239628,0.4026789661827048,57.74547726975356,1.6045271636326213,886.4247369955624
demand_1.25x,S2,20,0.8,37.06533781941145,0.342437779699396,63.16937586992701,1.739698482908137,929.0462582392884
demand_1.25x,S1,21,,31.21577260355647,0.4420272486038887,62.68694202372849,1.6177822188785411,876.5374335638901
demand_1.25x,S2,21,0.8,35.952674323592255,0.3313795191495161,61.092414100298136,1.7257098155432526,885.3754935553472
demand_1.25x,S1,22,,31.86876941890138,0.4545627480832879,64.62057258083102,1.540253069452462,936.1728864273784
demand_1.25x,S2,22,0.8,35.59836681121491,0.3300916362472523,60.25593551903934,1.7518077177447928,940.6437859137196
demand_1.25x,S1,23,,29.21885519890689,0.4531819731101929,59.629256525996574,1.569541358459749,891.052726052669
demand_1.25x,S2,23,0.8,35.6241708965298,0.338474227826619,61.41269555146911,1.841746663462528,899.5688924180457
demand_1.25x,S1,24,,28.730376225117958,0.4365446238398811,57.5704667035668,1.575008662721986,869.8725559279445
demand_1.25x,S2,24,0.8,31.497594939575315,0.3684289653481594,56.37004431620145,1.6740264093144306,860.8582376778859
demand_1.25x,S1,25,,25.52910526185921,0.4291323119874619,49.6247825661333,1.523284329113986,853.8332395674496
demand_1.25x,S2,25,0.8,30.69633597312741,0.3295030993428662,51.65439692868198,1.775968839512406,869.8516035187821
demand_1.25x,S1,26,,33.24902150085305,0.4369901097277056,66.40996580057929,1.7907433089585811,879.2713967989774
demand_1.25x,S2,26,0.8,36.06849982302796,0.3250267178340034,60.028585064568,1.869115462038356,860.4159336901436
demand_1.25x,S1,27,,30.107708534407237,0.4390679543722293,60.68299865885775,1.633543502003866,820.2208574821223
demand_1.25x,S2,27,0.8,37.26806017242101,0.3078166252971459,59.31329714727941,1.973625423040337,848.8883196760144
demand_1.25x,S1,28,,29.025600027119307,0.4381680672832946,57.81694385412785,1.5487988607195,845.6280372437211
demand_1.25x,S2,28,0.8,33.86055062783238,0.3559088466631934,58.68345651528269,1.864362493287909,865.0053521625897
demand_1.25x,S1,29,,27.42603588889123,0.4414449584659934,54.81762998156498,1.5744559020945887,825.7909067605761
demand_1.25x,S2,29,0.8,29.975158485749624,0.3294717813724721,50.285797998113885,1.806758115885448,822.0603289032726
demand_1.25x,S1,30,,32.562344338553785,0.4333248542800534,64.42897969861785,1.683747707618747,874.1223346150501
demand_1.25x,S2,30,0.8,35.89869985060194,0.3342437899731902,61.3899930246024,1.8696434987395243,902.3586245221238
demand_1.25x,S1,31,,32.589762548023145,0.4056833378758839,62.461960585258254,1.7482756431194746,830.8692843125884
demand_1.25x,S2,31,0.8,36.403504979925806,0.3137810071669924,60.04796967701902,1.8519715972430049,881.7639772542689
demand_1.25x,S1,32,,30.100006926238585,0.4090944894977004,57.43223162331318,1.7261778570004973,846.7510571913705
demand_1.25x,S2,32,0.8,32.6934183601432,0.3204115189606655,53.774085684281616,1.6806408215072983,859.3088324061601
demand_1.25x,S1,33,,33.93505106071738,0.4470413412331318,70.3024693558405,1.7261536516084293,888.1529166059013
demand_1.25x,S2,33,0.8,39.03947968884986,0.2997946851161335,63.14756124501309,1.9722386896836384,878.7945656569952
demand_1.25x,S1,34,,31.80081145881565,0.4100199336421255,61.92216908522817,1.6171912048973354,922.8111758878616
demand_1.25x,S2,34,0.8,34.99221460338758,0.3181817010058785,58.16927853897442,1.8611591408768824,918.8673446066624
demand_1.25x,S1,35,,30.686175478288398,0.4472707139822398,62.55792236691284,1.7502301967277256,866.5043413910313
demand_1.25x,S2,35,0.8,34.12282857200343,0.3275136356262154,56.67939173333545,1.793601014066054,856.2626008311265
demand_1.25x,S1,36,,32.85770964736452,0.4275179696397029,65.04193019081528,1.5871790855704502,863.7804792024874
demand_1.25x,S2,36,0.8,40.272347757017535,0.296462021473773,63.57279083934429,2.019914879051897,906.9680994890368
demand_1.25x,S1,37,,31.523590322420727,0.4212441813769221,61.96915048160758,1.6243288061253032,852.9307834165043
demand_1.25x,S2,37,0.8,35.64383910914564,0.3019942266736928,58.48515805960048,1.8612531150260456,874.4413647337132
demand_1.25x,S1,38,,33.09364395009282,0.4384723980550391,66.52736962188379,1.6558625534046398,887.1428927290525
demand_1.25x,S2,38,0.8,38.43296531934264,0.3369635459615845,65.64315182465478,1.9962581869344784,888.0686329153477
demand_1.25x,S1,39,,28.239907302053336,0.4700868755827612,59.53780307064306,1.574434601351597,900.4895512938141
demand_1.25x,S2,39,0.8,31.408279509268347,0.3328764378618218,53.59290808779349,1.7500827371731504,868.3352689630486
demand_1.25x,S1,40,,34.30421757467338,0.4594395363097394,72.52466635873444,1.6842122763197984,969.5431332196172
demand_1.25x,S2,40,0.8,40.55966865109709,0.3286520644286017,68.63119695712574,1.9000745465478823,936.6484643960572
